cust_id,similar_cust_id,score
C0001,C0137,0.9997447048372613
C0001,C0152,0.9996503459617399
C0001,C0178,0.9995487056492892
C0002,C0029,0.999917747493727
C0002,C0127,0.999817602955838
C0002,C0076,0.9998117818170471
C0003,C0155,0.9999815622346137
C0003,C0126,0.9999509877212286
C0003,C0067,0.9993726639162274
C0004,C0068,0.9988327307192978
C0004,C0017,0.9986210193153509
C0004,C0113,0.9985862361568025
C0005,C0061,0.9998915252037158
C0005,C0131,0.9991525672342252
C0005,C0167,0.9990688490911841
C0006,C0079,0.999179625120697
C0006,C0117,0.9988814264353822
C0006,C0026,0.9983315469739155
C0007,C0085,0.9999982428436628
C0007,C0063,0.9996593652341533
C0007,C0074,0.999338946768498
C0008,C0111,0.9999104903335001
C0008,C0084,0.9983086898992377
C0008,C0147,0.9950905607627596
C0009,C0186,0.9931167146659695
C0009,C0198,0.9923442274652946
C0009,C0131,0.989362842945797
C0010,C0139,0.9998469196295645
C0010,C0047,0.9987026042717225
C0010,C0024,0.9980196121274917
C0011,C0183,0.9999311692458591
C0011,C0178,0.999833187832409
C0011,C0107,0.9995034461071686
C0012,C0102,0.9997164902553265
C0012,C0108,0.9994511046749839
C0012,C0145,0.9994364780085973
C0013,C0051,0.9997835216175064
C0013,C0059,0.9997770611480898
C0013,C0153,0.9997275872374983
C0014,C0150,0.9999999999999998
C0014,C0033,0.9999999999999998
C0014,C0014,0.9999999999999997
C0015,C0128,0.9990624925393023
C0015,C0198,0.9961849790506098
C0015,C0123,0.9957278144091356
C0016,C0133,0.9999700145333941
C0016,C0092,0.9998799146045677
C0016,C0125,0.999850450166994
C0017,C0113,0.9999134671527449
C0017,C0175,0.999457395373393
C0017,C0093,0.9991233487563869
C0018,C0163,0.9997747665961894
C0018,C0182,0.9995461588941492
C0018,C0082,0.9992718307792666
C0019,C0157,0.9996762110969775
C0019,C0094,0.9992468382827081
C0019,C0047,0.997687384019704
C0020,C0080,0.9999998013973264
C0020,C0130,0.9987919868545058
C0020,C0150,0.9987919868545057
